id, label
2, Amazon
3, Catalog Associate - Portuguese
4, QA Senior Catalog Associate - Spanish or Italian
5, Catalog Associate - Italian
6, Catalog Associate - Spanish
7, SCC Services Romania
8, Service Desk Engineer with French - Iasi
9, VAST VISIBILITY LIMITED LIVERPOOL SUCURSALA IASI
10, Back end/Front end .NET Developer (Junior/Middle)
11, IT Support Engineer with Cloud Experience (Junior/Middle)
12, IT Support Engineer with Database Experience (Junior/Middle)
13, GoDaddy EMEA
14, Software Engineer in Test
15, Mid PHP Developer
16, Software Developer
17, Frontend Developer
18, Web designer
19, Customer Consultation & Care Representative
20, S.C. Fire Credit S.R.L.
21, Consultant recuperari creante - Lb. Italiana
22, OSS Nokalva
23, Senior .NET Software Developer **Telecommuting**
24, BEARINGPOINT SRL
25, Sharepoint Consultant in Iasi
26, Junior Testing Analyst with German in IASI
27, (Senior) Test Analyst
28, Heaven Solutions
29, Tehnician Dentar / Dental Technician
30, IT Manager de proiect
31, BlockChain Developer
32, Node.JS Developer
33, Junior Software Tester
34, Junior Sales Executive
35, Software Tester in Digital Dentistry
36, Internship Software Tester
37, Marketing Specialist
38, IT Project Manager
39, Spark Creative Marketing
40, Website Designer & Developer - Wordpress
41, Logo Designer
42, Vodafone Romania
43, Sales Advisor - Vodafone Store Iasi
44, Marquardt Schaltsysteme SCS SIBIU
45, Internship Software Test Engineer - Sibiu
46, INSTORE POWER PROVIDER S.R.L.
47, Consumer in Business Consultant Vodafone
48, PROCONSIL GRUP SRL
49, Inginer vanzari
50, SC Arsis Trading SRL
51, Consilier Vanzari Telecomunicatii
52, Promedia Studio SRL
53, Grafician Jocuri (Remote)
54, LeadBI
55, JavaScript Software Developer
56, DIAFLOR TECHONOGIES SRL
57, IT SOFTWARE
58, Gsm Zone - Codek Media Solution
59, Tehnician electronist   -  Service Gsm
60, Consilier Vanzari
61, SC ADECCO RESURSE UMANE SRL
62, Senior in conformitate produse cu engleza si germana
63, Senior in conformitate produse cu engleza si franceza
64, NNC Services
65, B2B Sales Professional - Telesales
66,  Falticeni
67, Reprezentant Magazin Iasi
68, XEROX SHARED SERVICES ROMANIA SRL
69, Marketing Automation Specialist with English
70, MPS Process Manager with English
71, Technical Support with English
72, Operations Executive with German
73, Service Delivery Manager
74, Learning & Development Assistant with German
75, Content Specialist (Campaign Management)
76, Executive Assistant with English
77, Service Delivery Coordinator with English
78, Truck Transfer
79, Logistic Planner English - Romania
80, Webmagnat
81, Web Developer PHP & MySQL
82, Front End Developer
